Warps,Conflicts,Time
1,0,28
1,1,30
1,2,32
1,3,34
1,4,36
1,5,38
1,6,40
1,7,42
1,8,44
1,9,46
1,10,48
1,11,50
1,12,52
1,13,54
1,14,56
1,15,58
1,16,60
1,17,62
1,18,64
1,19,66
1,20,68
1,21,70
1,22,72
1,23,74
1,24,76
1,25,78
1,26,80
1,27,82
1,28,84
1,29,86
1,30,88
1,31,90
2,0,30
2,1,33
2,2,35
2,3,37
2,4,39
2,5,41
2,6,43
2,7,45
2,8,47
2,9,49
2,10,51
2,11,53
2,12,55
2,13,57
2,14,59
2,15,61
2,16,63
2,17,65
2,18,67
2,19,69
2,20,71
2,21,73
2,22,75
2,23,77
2,24,79
2,25,81
2,26,83
2,27,85
2,28,87
2,29,89
2,30,91
2,31,93
3,0,32
3,1,34
3,2,38
3,3,42
3,4,46
3,5,50
3,6,54
3,7,58
3,8,62
3,9,68
3,10,72
3,11,76
3,12,80
3,13,84
3,14,88
3,15,92
3,16,96
3,17,100
3,18,104
3,19,108
3,20,112
3,21,116
3,22,120
3,23,124
3,24,128
3,25,132
3,26,136
3,27,140
3,28,144
3,29,148
3,30,152
3,31,156
4,0,34
4,1,37
4,2,41
4,3,45
4,4,49
4,5,53
4,6,57
4,7,63
4,8,67
4,9,69
4,10,73
4,11,77
4,12,81
4,13,85
4,14,89
4,15,93
4,16,97
4,17,101
4,18,105
4,19,109
4,20,113
4,21,117
4,22,121
4,23,125
4,24,129
4,25,133
4,26,137
4,27,141
4,28,145
4,29,149
4,30,153
4,31,157
5,0,37
5,1,39
5,2,47
5,3,50
5,4,58
5,5,64
5,6,70
5,7,74
5,8,80
5,9,88
5,10,94
5,11,100
5,12,106
5,13,112
5,14,123
5,15,130
5,16,138
5,17,140
5,18,148
5,19,155
5,20,157
5,21,162
5,22,166
5,23,172
5,24,178
5,25,184
5,26,190
5,27,196
5,28,202
5,29,208
5,30,214
5,31,220
6,0,39
6,1,42
6,2,50
6,3,55
6,4,59
6,5,65
6,6,71
6,7,79
6,8,85
6,9,89
6,10,95
6,11,101
6,12,107
6,13,113
6,14,123
6,15,132
6,16,140
6,17,142
6,18,150
6,19,157
6,20,159
6,21,164
6,22,167
6,23,173
6,24,179
6,25,185
6,26,191
6,27,197
6,28,203
6,29,209
6,30,215
6,31,221
7,0,41
7,1,43
7,2,53
7,3,58
7,4,68
7,5,76
7,6,84
7,7,90
7,8,98
7,9,108
7,10,116
7,11,124
7,12,132
7,13,140
7,14,148
7,15,159
7,16,168
7,17,178
7,18,188
7,19,192
7,20,201
7,21,208
7,22,212
7,23,220
7,24,228
7,25,236
7,26,244
7,27,253
7,28,261
7,29,269
7,30,277
7,31,285
8,0,43
8,1,46
8,2,56
8,3,63
8,4,69
8,5,77
8,6,85
8,7,95
8,8,103
8,9,109
8,10,117
8,11,125
8,12,133
8,13,141
8,14,149
8,15,161
8,16,170
8,17,180
8,18,190
8,19,194
8,20,203
8,21,208
8,22,214
8,23,221
8,24,229
8,25,237
8,26,245
8,27,260
8,28,268
8,29,276
8,30,284
8,31,292
9,0,47
9,1,46
9,2,59
9,3,66
9,4,78
9,5,88
9,6,98
9,7,116
9,8,137
9,9,144
9,10,146
9,11,150
9,12,158
9,13,168
9,14,178
9,15,188
9,16,198
9,17,209
9,18,219
9,19,229
9,20,239
9,21,249
9,22,259
9,23,269
9,24,279
9,25,289
9,26,303
9,27,313
9,28,323
9,29,333
9,30,343
9,31,353
10,0,49
10,1,52
10,2,65
10,3,71
10,4,79
10,5,89
10,6,99
10,7,142
10,8,145
10,9,148
10,10,146
10,11,152
10,12,160
10,13,169
10,14,180
10,15,189
10,16,199
10,17,216
10,18,226
10,19,236
10,20,246
10,21,256
10,22,266
10,23,276
10,24,286
10,25,296
10,26,306
10,27,316
10,28,326
10,29,336
10,30,346
10,31,356
11,0,51
11,1,53
11,2,65
11,3,74
11,4,88
11,5,100
11,6,112
11,7,150
11,8,158
11,9,164
11,10,167
11,11,175
11,12,184
11,13,196
11,14,209
11,15,221
11,16,233
11,17,249
11,18,261
11,19,273
11,20,285
11,21,297
11,22,309
11,23,321
11,24,333
11,25,345
11,26,357
11,27,369
11,28,381
11,29,393
11,30,405
11,31,417
12,0,52
12,1,56
12,2,71
12,3,79
12,4,89
12,5,101
12,6,113
12,7,155
12,8,163
12,9,165
12,10,168
12,11,176
12,12,185
12,13,197
12,14,216
12,15,228
12,16,240
12,17,252
12,18,264
12,19,276
12,20,288
12,21,300
12,22,312
12,23,324
12,24,336
12,25,348
12,26,360
12,27,372
12,28,384
12,29,396
12,30,408
12,31,420
13,0,54
13,1,59
13,2,71
13,3,86
13,4,98
13,5,139
13,6,150
13,7,155
13,8,163
13,9,171
13,10,186
13,11,198
13,12,211
13,13,225
13,14,243
13,15,257
13,16,271
13,17,285
13,18,299
13,19,313
13,20,327
13,21,341
13,22,355
13,23,369
13,24,383
13,25,397
13,26,411
13,27,425
13,28,439
13,29,453
13,30,467
13,31,481
14,0,57
14,1,60
14,2,74
14,3,89
14,4,127
14,5,146
14,6,150
14,7,156
14,8,163
14,9,178
14,10,194
14,11,206
14,12,218
14,13,232
14,14,246
14,15,260
14,16,274
14,17,288
14,18,302
14,19,316
14,20,330
14,21,344
14,22,358
14,23,372
14,24,386
14,25,400
14,26,414
14,27,428
14,28,442
14,29,456
14,30,470
14,31,484
15,0,58
15,1,63
15,2,76
15,3,94
15,4,127
15,5,150
15,6,157
15,7,161
15,8,177
15,9,193
15,10,209
15,11,225
15,12,241
15,13,257
15,14,274
15,15,289
15,16,305
15,17,321
15,18,337
15,19,355
15,20,369
15,21,385
15,22,401
15,23,417
15,24,433
15,25,449
15,26,465
15,27,482
15,28,497
15,29,513
15,30,529
15,31,545
16,0,60
16,1,64
16,2,81
16,3,96
16,4,138
16,5,151
16,6,160
16,7,172
16,8,183
16,9,199
16,10,214
16,11,229
16,12,245
16,13,261
16,14,277
16,15,293
16,16,309
16,17,325
16,18,341
16,19,357
16,20,373
16,21,389
16,22,406
16,23,425
16,24,441
16,25,457
16,26,473
16,27,489
16,28,505
16,29,521
16,30,537
16,31,553
17,0,63
17,1,65
17,2,85
17,3,122
17,4,138
17,5,151
17,6,164
17,7,180
17,8,197
17,9,214
17,10,232
17,11,252
17,12,268
17,13,286
17,14,307
17,15,322
17,16,340
17,17,358
17,18,376
17,19,394
17,20,412
17,21,430
17,22,451
17,23,469
17,24,487
17,25,505
17,26,523
17,27,542
17,28,559
17,29,577
17,30,595
17,31,613
18,0,65
18,1,68
18,2,87
18,3,138
18,4,140
18,5,151
18,6,166
18,7,185
18,8,201
18,9,218
18,10,235
18,11,253
18,12,271
18,13,289
18,14,308
18,15,326
18,16,344
18,17,362
18,18,380
18,19,398
18,20,416
18,21,434
18,22,455
18,23,473
18,24,491
18,25,509
18,26,527
18,27,545
18,28,563
18,29,581
18,30,599
18,31,617
19,0,67
19,1,69
19,2,91
19,3,138
19,4,144
19,5,156
19,6,178
19,7,197
19,8,216
19,9,236
19,10,256
19,11,276
19,12,294
19,13,316
19,14,338
19,15,359
19,16,379
19,17,397
19,18,420
19,19,439
19,20,457
19,21,477
19,22,498
19,23,519
19,24,538
19,25,558
19,26,578
19,27,598
19,28,618
19,29,638
19,30,658
19,31,678
20,0,69
20,1,72
20,2,93
20,3,146
20,4,145
20,5,157
20,6,185
20,7,200
20,8,218
20,9,237
20,10,261
20,11,278
20,12,301
20,13,321
20,14,342
20,15,362
20,16,382
20,17,402
20,18,422
20,19,442
20,20,462
20,21,482
20,22,502
20,23,522
20,24,542
