Warps,Conflicts,Time
1,0,58
1,1,58
1,2,58
1,3,58
1,4,58
1,5,58
1,6,58
1,7,58
1,8,58
1,9,58
1,10,58
1,11,58
1,12,60
1,13,62
1,14,64
1,15,66
1,16,68
1,17,70
1,18,72
1,19,74
1,20,76
1,21,78
1,22,80
1,23,82
1,24,84
1,25,86
1,26,88
1,27,90
1,28,92
1,29,94
1,30,96
1,31,98
2,0,62
2,1,62
2,2,62
2,3,62
2,4,62
2,5,62
2,6,62
2,7,62
2,8,62
2,9,62
2,10,62
2,11,62
2,12,63
2,13,65
2,14,67
2,15,69
2,16,71
2,17,73
2,18,75
2,19,77
2,20,80
2,21,82
2,22,84
2,23,86
2,24,88
2,25,90
2,26,92
2,27,94
2,28,96
2,29,98
2,30,100
2,31,102
3,0,66
3,1,66
3,2,66
3,3,66
3,4,66
3,5,66
3,6,66
3,7,69
3,8,73
3,9,77
3,10,82
3,11,85
3,12,89
3,13,93
3,14,97
3,15,101
3,16,105
3,17,109
3,18,113
3,19,117
3,20,121
3,21,125
3,22,129
3,23,133
3,24,137
3,25,141
3,26,145
3,27,149
3,28,153
3,29,157
3,30,161
3,31,165
4,0,70
4,1,70
4,2,70
4,3,70
4,4,70
4,5,70
4,6,70
4,7,71
4,8,75
4,9,79
4,10,84
4,11,88
4,12,92
4,13,97
4,14,101
4,15,105
4,16,109
4,17,113
4,18,117
4,19,121
4,20,125
4,21,129
4,22,133
4,23,137
4,24,141
4,25,145
4,26,149
4,27,153
4,28,157
4,29,161
4,30,165
4,31,169
5,0,77
5,1,77
5,2,77
5,3,77
5,4,77
5,5,77
5,6,81
5,7,91
5,8,96
5,9,102
5,10,108
5,11,114
5,12,120
5,13,126
5,14,132
5,15,139
5,16,145
5,17,151
5,18,157
5,19,163
5,20,169
5,21,175
5,22,181
5,23,187
5,24,193
5,25,199
5,26,205
5,27,211
5,28,217
5,29,223
5,30,229
5,31,235
6,0,83
6,1,83
6,2,83
6,3,83
6,4,83
6,5,83
6,6,86
6,7,90
6,8,98
6,9,103
6,10,109
6,11,115
6,12,121
6,13,127
6,14,133
6,15,139
6,16,145
6,17,151
6,18,157
6,19,163
6,20,169
6,21,175
6,22,181
6,23,187
6,24,193
6,25,199
6,26,205
6,27,211
6,28,218
6,29,224
6,30,230
6,31,236
7,0,95
7,1,95
7,2,95
7,3,95
7,4,95
7,5,91
7,6,99
7,7,108
7,8,116
7,9,124
7,10,133
7,11,141
7,12,149
7,13,157
7,14,165
7,15,173
7,16,181
7,17,189
7,18,197
7,19,205
7,20,213
7,21,221
7,22,229
7,23,237
7,24,245
7,25,253
7,26,261
7,27,269
7,28,277
7,29,285
7,30,293
7,31,301
8,0,99
8,1,99
8,2,99
8,3,99
8,4,99
8,5,100
8,6,105
8,7,109
8,8,117
8,9,125
8,10,133
8,11,141
8,12,149
8,13,157
8,14,165
8,15,173
8,16,182
8,17,190
8,18,198
8,19,206
8,20,214
8,21,222
8,22,230
8,23,238
8,24,246
8,25,254
8,26,262
8,27,270
8,28,278
8,29,286
8,30,294
8,31,302
9,0,105
9,1,105
9,2,105
9,3,105
9,4,105
9,5,120
9,6,129
9,7,140
9,8,151
9,9,161
9,10,171
9,11,181
9,12,191
9,13,201
9,14,211
9,15,221
9,16,231
9,17,241
9,18,251
9,19,261
9,20,271
9,21,281
9,22,291
9,23,301
9,24,311
9,25,321
9,26,331
9,27,341
9,28,351
9,29,361
9,30,371
9,31,381
10,0,107
10,1,107
10,2,107
10,3,107
10,4,107
10,5,121
10,6,132
10,7,141
10,8,151
10,9,161
10,10,171
10,11,182
10,12,192
10,13,202
10,14,212
10,15,222
10,16,232
10,17,242
10,18,252
10,19,262
10,20,272
10,21,282
10,22,292
10,23,302
10,24,312
10,25,322
10,26,332
10,27,342
10,28,352
10,29,362
10,30,372
10,31,382
11,0,109
11,1,109
11,2,109
11,3,109
11,4,120
11,5,132
11,6,143
11,7,157
11,8,169
11,9,181
11,10,193
11,11,205
11,12,217
11,13,229
11,14,241
11,15,253
11,16,265
11,17,277
11,18,289
11,19,301
11,20,313
11,21,325
11,22,337
11,23,349
11,24,361
11,25,373
11,26,385
11,27,397
11,28,409
11,29,421
11,30,433
11,31,445
12,0,113
12,1,113
12,2,113
12,3,113
12,4,121
12,5,135
12,6,147
12,7,158
12,8,170
12,9,183
12,10,195
12,11,207
12,12,219
12,13,231
12,14,243
12,15,255
12,16,267
12,17,279
12,18,291
12,19,303
12,20,315
12,21,327
12,22,339
12,23,351
12,24,363
12,25,375
12,26,387
12,27,399
12,28,411
12,29,423
12,30,435
12,31,447
13,0,134
13,1,132
13,2,132
13,3,132
13,4,136
13,5,146
13,6,164
13,7,178
13,8,192
13,9,206
13,10,220
13,11,234
13,12,248
13,13,262
13,14,276
13,15,290
13,16,304
13,17,318
13,18,332
13,19,346
13,20,360
13,21,374
13,22,388
13,23,402
13,24,416
13,25,430
13,26,444
13,27,458
13,28,472
13,29,486
13,30,500
13,31,514
14,0,138
14,1,134
14,2,134
14,3,134
14,4,136
14,5,151
14,6,167
14,7,178
14,8,192
14,9,207
14,10,221
14,11,235
14,12,249
14,13,263
14,14,277
14,15,291
14,16,305
14,17,319
14,18,333
14,19,347
14,20,361
14,21,375
