Warps,Conflicts,Measured,Model
1,0,58,58
1,1,58,58
1,2,58,58
1,3,58,58
1,4,58,58
1,5,58,58
1,6,58,58
1,7,58,58
1,8,58,58
1,9,58,58
1,10,58,58
1,11,58,58
1,12,59,60
1,13,62,62
1,14,63,64
1,15,65,66
1,16,67,68
1,17,69,70
1,18,71,72
1,19,74,74
1,20,76,76
1,21,77,78
1,22,79,80
1,23,81,82
1,24,83,84
1,25,85,86
1,26,87,88
1,27,89,90
1,28,91,92
1,29,93,94
1,30,95,96
1,31,97,98
2,0,62,62
2,1,62,62
2,2,62,62
2,3,62,62
2,4,62,62
2,5,62,62
2,6,62,62
2,7,62,62
2,8,62,62
2,9,62,62
2,10,62,62
2,11,62,62
2,12,63,63
2,13,65,65
2,14,67,67
2,15,69,69
2,16,71,71
2,17,73,73
2,18,75,75
2,19,78,77
2,20,80,80
2,21,82,82
2,22,84,84
2,23,86,86
2,24,88,88
2,25,90,90
2,26,92,92
2,27,94,94
2,28,96,96
2,29,98,98
2,30,100,100
2,31,102,102
3,0,66,66
3,1,66,66
3,2,66,66
3,3,66,66
3,4,66,66
3,5,66,66
3,6,66,66
3,7,69,69
3,8,73,73
3,9,77,77
3,10,82,82
3,11,85,85
3,12,89,89
3,13,93,93
3,14,97,97
3,15,101,101
3,16,105,105
3,17,109,109
3,18,113,113
3,19,117,117
3,20,121,121
3,21,125,125
3,22,129,129
3,23,133,133
3,24,137,137
3,25,141,141
3,26,145,145
3,27,149,149
3,28,153,153
3,29,157,157
3,30,161,161
3,31,165,165
4,0,70,70
4,1,70,70
4,2,70,70
4,3,70,70
4,4,70,70
4,5,70,70
4,6,70,70
4,7,71,71
4,8,75,75
4,9,79,79
4,10,84,84
4,11,88,88
4,12,92,92
4,13,97,97
4,14,101,101
4,15,105,105
4,16,109,109
4,17,113,113
4,18,117,117
4,19,121,121
4,20,125,125
4,21,129,129
4,22,133,133
4,23,137,137
4,24,141,141
4,25,145,145
4,26,149,149
4,27,153,153
4,28,157,157
4,29,161,161
4,30,165,165
4,31,169,169
5,0,77,77
5,1,77,77
5,2,77,77
5,3,77,77
5,4,77,77
5,5,77,77
5,6,83,81
5,7,91,91
5,8,96,96
5,9,102,102
5,10,108,108
5,11,114,114
5,12,120,120
5,13,126,126
5,14,132,132
5,15,139,139
5,16,145,145
5,17,151,151
5,18,157,157
5,19,163,163
5,20,169,169
5,21,175,175
5,22,181,181
5,23,187,187
5,24,193,193
