Warps,Conflicts,Measured,Model
1,0,28,28
1,1,30,30
1,2,32,32
1,3,34,34
1,4,36,36
1,5,38,38
1,6,40,40
1,7,42,42
1,8,44,44
1,9,46,46
1,10,48,48
1,11,50,50
1,12,52,52
1,13,54,54
1,14,56,56
1,15,58,58
1,16,60,60
1,17,62,62
1,18,64,64
1,19,66,66
1,20,68,68
1,21,70,70
1,22,72,72
1,23,74,74
1,24,76,76
1,25,78,78
1,26,80,80
1,27,82,82
1,28,84,84
1,29,86,86
1,30,88,88
1,31,90,90
2,0,30,30
2,1,33,33
2,2,35,35
2,3,37,37
2,4,39,39
2,5,41,41
2,6,43,43
2,7,45,45
2,8,47,47
2,9,49,49
2,10,51,51
2,11,53,53
2,12,55,55
2,13,57,57
2,14,59,59
2,15,61,61
2,16,63,63
2,17,65,65
2,18,67,67
2,19,69,69
2,20,71,71
2,21,73,73
2,22,75,75
2,23,77,77
2,24,79,79
2,25,81,81
2,26,83,83
2,27,85,85
2,28,87,87
2,29,89,89
2,30,91,91
2,31,93,93
3,0,32,32
3,1,34,34
3,2,38,38
3,3,42,42
3,4,46,46
3,5,50,50
3,6,54,54
3,7,58,58
3,8,64,62
3,9,68,68
3,10,72,72
3,11,76,76
3,12,80,80
3,13,84,84
3,14,88,88
3,15,92,92
3,16,96,96
3,17,100,100
3,18,104,104
3,19,108,108
3,20,112,112
3,21,116,116
3,22,120,120
3,23,124,124
3,24,128,128
3,25,132,132
3,26,136,136
3,27,140,140
3,28,144,144
3,29,148,148
3,30,152,152
3,31,156,156
4,0,34,34
4,1,37,37
4,2,41,41
4,3,45,45
4,4,49,49
4,5,53,53
4,6,59,57
4,7,63,63
4,8,65,67
4,9,69,69
4,10,73,73
4,11,77,77
4,12,81,81
4,13,85,85
4,14,89,89
4,15,93,93
4,16,97,97
4,17,101,101
4,18,105,105
4,19,109,109
4,20,113,113
4,21,117,117
4,22,121,121
4,23,125,125
4,24,129,129
4,25,133,133
4,26,137,137
4,27,141,141
4,28,145,145
4,29,149,149
4,30,153,153
4,31,157,157
5,0,37,37
5,1,39,39
5,2,47,47
5,3,50,50
5,4,58,58
5,5,64,64
5,6,71,70
5,7,74,74
5,8,82,80
5,9,88,88
5,10,94,94
5,11,100,100
5,12,106,106
5,13,112,112
5,14,118,123
5,15,129,130
5,16,134,138
5,17,136,140
5,18,142,148
5,19,152,155
5,20,154,157
5,21,160,162
5,22,166,166
5,23,172,172
5,24,178,178
5,25,184,184
5,26,190,190
5,27,196,196
5,28,202,202
5,29,208,208
5,30,214,214
5,31,227,220
6,0,39,39
6,1,42,42
6,2,50,50
6,3,57,55
6,4,61,59
6,5,65,65
6,6,74,71
6,7,79,79
6,8,83,85
6,9,89,89
6,10,95,95
6,11,101,101
6,12,107,107
6,13,113,113
6,14,122,123
6,15,127,132
6,16,131,140
6,17,145,142
6,18,147,150
6,19,154,157
6,20,156,159
6,21,162,164
6,22,167,167
6,23,173,173
6,24,179,179
6,25,185,185
6,26,191,191
6,27,197,197
6,28,203,203
6,29,209,209
6,30,218,215
6,31,227,221
7,0,42,41
7,1,42,43
7,2,56,53
7,3,60,58
7,4,68,68
7,5,76,76
7,6,82,84
7,7,90,90
7,8,100,98
7,9,108,108
7,10,116,116
7,11,124,124
7,12,132,132
7,13,140,140
7,14,148,148
7,15,160,159
7,16,169,168
7,17,177,178
7,18,189,188
7,19,193,192
7,20,202,201
7,21,206,208
7,22,212,212
7,23,220,220
7,24,228,228
7,25,236,236
7,26,245,244
7,27,253,253
7,28,261,261
7,29,269,269
7,30,277,277
7,31,285,285
8,0,43,43
8,1,46,46
8,2,56,56
8,3,63,63
8,4,69,69
8,5,77,77
8,6,87,85
8,7,95,95
8,8,101,103
8,9,109,109
8,10,117,117
8,11,125,125
8,12,133,133
8,13,141,141
8,14,149,149
8,15,163,161
8,16,173,170
8,17,179,180
8,18,189,190
8,19,196,194
8,20,202,203
8,21,209,208
8,22,213,214
8,23,221,221
8,24,229,229
8,25,241,237
8,26,252,245
8,27,260,260
8,28,268,268
8,29,276,276
8,30,284,284
8,31,292,292
9,0,51,47
9,1,46,46
9,2,58,59
9,3,66,66
9,4,80,78
9,5,88,88
9,6,96,98
9,7,106,116
9,8,144,137
9,9,146,144
9,10,146,146
9,11,154,150
9,12,158,158
9,13,168,168
9,14,178,178
9,15,198,188
9,16,208,198
9,17,209,209
9,18,219,219
9,19,229,229
9,20,242,239
9,21,249,249
9,22,259,259
9,23,269,269
9,24,279,279
9,25,292,289
9,26,303,303
9,27,313,313
9,28,323,323
9,29,333,333
9,30,343,343
9,31,353,353
10,0,49,49
10,1,52,52
10,2,61,65
10,3,73,71
10,4,83,79
10,5,92,89
10,6,102,99
10,7,111,142
10,8,119,145
10,9,146,148
10,10,159,146
10,11,167,152
10,12,160,160
10,13,185,169
10,14,193,180
10,15,198,189
10,16,199,199
10,17,218,216
10,18,228,226
10,19,236,236
10,20,246,246
10,21,256,256
10,22,266,266
10,23,276,276
10,24,286,286
10,25,296,296
10,26,306,306
10,27,316,316
10,28,326,326
10,29,336,336
10,30,346,346
10,31,356,356
11,0,51,51
11,1,53,53
11,2,65,65
11,3,78,74
11,4,88,88
11,5,100,100
11,6,110,112
11,7,150,150
11,8,158,158
11,9,164,164
11,10,167,167
11,11,176,175
11,12,184,184
11,13,196,196
11,14,209,209
11,15,221,221
11,16,233,233
11,17,249,249
11,18,261,261
11,19,273,273
11,20,285,285
11,21,297,297
11,22,309,309
11,23,321,321
11,24,333,333
11,25,345,345
11,26,357,357
11,27,369,369
11,28,381,381
11,29,393,393
11,30,405,405
11,31,417,417
12,0,52,52
12,1,56,56
12,2,68,71
12,3,79,79
12,4,89,89
12,5,101,101
